Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cbd oil sunshine coast,4,4,50,6,0,https://herbly.com.au/pages/sunshine-coast-dispensary,1,0.12,0,0,1250000,"50, 35, 28, 35, 50, 50, 35, 28, 28, 28, 28, 35",2026-03-29 14:54:04,"Local pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic
weed store online,7,0,50,38,0,https://herbly.com.au/pages/grafton-dispensary,1,0.12,0,0,95900000,"2, 2, 0, 2, 2, 29, 29, 2, 2, 2, 29, 2",2026-04-15 11:21:25,"Image, Discussions and forums",commercial,Organic
medical cannabis dispensary brisbane,8,0,50,42,0,https://herbly.com.au/pages/north-lakes-dispensary,1,0.12,0,0,35000,"44, 22, 55, 33, 33, 22, 100, 77, 55, 55, 100, 55",2026-04-14 08:07:12,"Local pack, Video, Image, Related searches",commercial,Organic
buy weed in brisbane,4,0,50,18,0,https://herbly.com.au/pages/north-lakes-dispensary,1,0.12,0,0,5460000,"11, 22, 22, 0, 100, 11, 77, 77, 77, 77, 77, 100",2026-04-26 16:45:38,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
buy weed adelaide,7,0,50,29,0,https://herbly.com.au/pages/adelaide-dispensary,1,0.12,0,0,4240000,"9, 9, 9, 9, 9, 9, 63, 81, 63, 81, 100, 100",2026-04-26 16:53:02,"Knowledge panel, Sitelinks",transactional,Organic
marijuana near me,1,0,50,35,0,https://herbly.com.au/pages/ipswich-dispensary,1,0.12,0,0,264000000,"14, 6, 10, 10, 29, 18, 10, 8, 2, 4, 4, 8",2026-04-22 21:53:00,"Knowledge panel, Video, Image, AI overview","informational, transactional",AI overview
marijuana near me,5,0,50,35,0,https://herbly.com.au/pages/caboolture-dispensary,1,0.12,0,0,264000000,"14, 6, 10, 10, 29, 18, 10, 8, 2, 4, 4, 8",2026-04-22 21:53:00,"Knowledge panel, Video, Image, AI overview","informational, transactional",Organic
buy cannabinoids online,13,13,140,49,60.02,https://herbly.com.au/pages/parramatta-dispensary,1,0.12,60,0.05,0,"66, 66, 5, 5, 5, 5, 5, 5, 82, 66, 53, 100",2026-03-09 09:55:05,Video,transactional,Organic
weed dispensary brisbane,6,0,50,16,0,https://herbly.com.au/pages/north-lakes-dispensary,1,0.12,0,0,37200,"28, 21, 7, 50, 7, 0, 28, 50, 50, 64, 64, 50",2026-04-15 03:54:52,"Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
pine dispensary toowoomba,11,18,1000,23,4.54,https://herbly.com.au/pages/toowoomba-dispensary,1,0.12,4,0.08,3630,"0, 0, 11, 84, 100, 100, 100, 52, 37, 46, 37, 37",2026-04-04 07:55:06,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
canna find,3,3,90,43,5.2,https://herbly.com.au/pages/coffs-harbour-dispensary,1,0.12,5,0.23,96,"64, 64, 64, 100, 64, 41, 29, 41, 41, 41, 41, 41",2026-03-26 13:59:04,"Sitelinks, Related searches",navigational,Organic
medicinal marijuanas sunshine coast,3,3,50,8,0,https://herbly.com.au/pages/sunshine-coast-dispensary,1,0.12,0,0,210000,"53, 53, 3, 3, 7, 53, 7, 3, 3, 3, 3, 3",2026-04-05 21:19:02,"Local pack, Video, Related searches",commercial,Organic
releaf caloundra,13,13,1600,20,2.09,https://herbly.com.au/pages/caloundra-dispensary,1,0.12,2,0.08,0,"82, 65, 44, 65, 55, 65, 44, 44, 55, 44, 55, 34",2026-03-06 05:20:26,"Knowledge panel, Video, Image, Related searches","navigational, transactional",Organic
