Postcode,Total,Not Approved,Booked,Approved,Active,Discharged,Discharged Patient,HOLD,Inactive - Active,Inactive - Approved,Inactive - Booked,Inactive - NA
Ariah Park,2,1,0,0,0,0,0,0,0,0,0,1
Armstrong Beach,2,0,0,0,0,0,0,0,1,0,0,1
Aroona,2,0,0,0,0,0,0,0,1,0,0,1
Arumbera,2,0,0,0,0,0,0,0,1,0,1,0
Ascot Park,2,0,0,0,0,0,0,0,0,0,1,1
Aspendale Gardens,2,0,0,0,0,0,0,0,1,0,0,1
Aurukun,2,0,0,0,0,1,0,0,0,0,1,0
Austinmer,2,0,0,0,0,0,0,0,0,0,0,2
Austins Ferry,2,0,0,0,0,0,0,0,1,0,0,1
Balaklava,2,0,0,0,0,0,0,0,2,0,0,0
Ballarat,2,0,0,0,0,1,0,0,0,0,1,0
Ballarat North,2,0,0,0,0,0,0,0,0,0,2,0
Balwyn North,2,0,0,0,0,0,0,0,0,0,0,2
Bamaga,2,0,0,0,0,0,0,0,1,0,0,1
Banjup,2,0,0,0,0,0,0,0,1,0,0,1
Bannaby,2,0,0,0,1,0,0,0,0,0,1,0
Bar Beach,2,0,1,0,0,1,0,0,0,0,0,0
Baralaba,2,0,0,0,0,0,1,0,0,1,0,0
Bardia,2,0,0,0,1,0,0,0,0,0,0,1
Barellan Point,2,0,0,0,0,0,0,0,0,0,1,1
Barham,2,0,0,0,0,1,0,0,1,0,0,0
Barmera,2,0,0,0,0,0,0,0,0,0,1,1
Barooga,2,0,0,0,1,0,0,0,1,0,0,0
Barrengarry,2,1,0,0,0,0,0,0,1,0,0,0
Barwon Heads,2,0,0,0,1,0,0,0,0,0,1,0
Beaconsfield Upper,2,0,1,0,0,0,0,0,1,0,0,0
Beaumont,2,0,0,0,1,0,0,0,1,0,0,0
Beechmont,2,0,0,0,0,0,0,0,2,0,0,0
Bell Post Hill,2,0,0,0,0,0,0,0,0,0,1,1
Bently,2,0,0,0,0,0,0,0,0,0,1,1
Berridale,2,0,0,0,0,0,0,0,0,0,2,0
Berrimah,2,0,0,0,0,0,0,0,0,0,1,1
Berrinba,2,0,0,0,1,0,0,0,1,0,0,0
Berringama,2,0,0,0,0,1,0,0,1,0,0,0
Beulah Park,2,0,0,0,0,0,0,0,1,0,1,0
Bexhill,2,0,1,0,0,0,0,0,1,0,0,0
Bexley North,2,0,1,0,1,0,0,0,0,0,0,0
Bilambil,2,0,0,0,0,1,0,0,1,0,0,0
Bilgola Plateau,2,0,0,0,0,0,0,0,1,0,0,1
Bilingurr,2,0,0,0,1,0,0,0,0,0,0,1
Binningup,2,0,0,0,0,0,0,0,0,0,2,0
Blackbutt South,2,0,0,0,0,1,0,0,0,0,0,1
Blackman'S Bay,2,0,0,0,1,0,0,0,1,0,0,0
Boambee,2,0,0,0,0,0,0,0,0,0,0,2
Boggabilla,2,0,0,0,0,1,0,0,0,0,0,1
Bolivia,2,0,0,0,0,0,1,0,0,0,0,1
Bolong,2,1,0,0,0,0,0,0,0,0,0,1
Bolwarra,2,1,0,0,0,0,0,0,0,1,0,0
Bonalbo,2,0,0,0,1,1,0,0,0,0,0,0
Bonnet Bay,2,0,0,0,1,0,0,0,0,0,1,0
Bonny Hills,2,0,0,0,1,1,0,0,0,0,0,0
Booborowie,2,0,0,0,1,0,0,0,0,0,0,1
Boolarra,2,0,0,0,1,0,0,0,0,0,1,0
Booroobin,2,0,0,0,1,0,0,0,0,0,0,1
Boorooma,2,0,0,0,0,0,0,0,2,0,0,0
Bordertown,2,0,0,0,0,1,0,0,0,0,0,1
Botanic Ridge,2,0,0,0,0,0,0,0,2,0,0,0
Bouldercombe,2,0,0,0,0,0,0,0,1,0,0,1
Bourkelands,2,0,0,0,0,0,0,0,1,0,1,0
Bowden,2,2,0,0,0,0,0,0,0,0,0,0
Boyanup,2,0,0,0,1,1,0,0,0,0,0,0
Boyup Brook,2,0,0,0,0,0,0,0,1,0,0,1
Bracewell,2,0,0,0,1,0,0,0,1,0,0,0
Brandy Creek,2,0,0,0,0,0,0,0,1,0,1,0
Branxton,2,0,0,0,1,0,0,0,1,0,0,0
Breakwater,2,0,0,0,0,0,0,0,0,0,1,1
Briagolong,2,0,0,0,0,1,0,0,0,0,1,0
Bridges,2,0,0,0,0,1,0,0,1,0,0,0
Bright,2,0,0,0,0,0,0,0,0,0,1,1
Brightwaters,2,0,0,0,1,0,0,0,0,0,1,0
Broadview,2,0,0,0,0,1,0,0,0,0,1,0
Brookhampton,2,0,1,0,0,0,0,0,0,0,1,0
Brooklands,2,0,0,0,0,0,0,0,0,0,0,2
Broomehill,2,0,0,0,0,0,0,0,1,0,0,1
Broughton,2,0,0,0,0,0,0,0,1,0,1,0
Bulahdelah,2,0,0,0,0,0,0,0,0,0,1,1
Bundabah,2,0,0,0,0,1,0,0,0,0,1,0
Bundaberg Central,2,0,0,0,0,1,0,0,1,0,0,0
Bundall,2,0,0,0,1,0,0,0,0,0,0,1
Bungadoo,2,0,0,0,0,0,0,0,1,0,1,0
Bungendore,2,0,1,0,0,1,0,0,0,0,0,0
Bunya,2,1,0,0,0,0,0,0,1,0,0,0
Burns Beach,2,0,0,0,0,1,0,0,0,0,1,0
Burra,2,1,0,0,0,0,0,0,1,0,0,0
Burradoo,2,0,0,0,1,0,0,0,0,0,1,0
Cabramatta West,2,0,0,0,0,1,0,0,1,0,0,0
Calderwood,2,0,0,0,0,0,0,0,1,0,1,0
Calen,2,0,0,0,1,0,0,0,0,0,0,1
Calvert,2,0,0,0,0,0,1,0,1,0,0,0
Cambewarra Village,2,0,0,0,1,1,0,0,0,0,0,0
Camden,2,0,0,0,0,0,0,0,0,0,1,1
Camden Head,2,0,0,0,0,0,0,0,1,1,0,0
Campbellfield,2,0,0,0,0,1,0,0,1,0,0,0
Canberra City,2,0,0,0,1,0,0,0,1,0,0,0
Canley Vale,2,0,0,0,1,1,0,0,0,0,0,0
Canningvale,2,0,0,0,0,0,1,0,0,0,0,1
Canowindra,2,0,0,0,0,0,0,0,0,0,0,2
Cape Woolamai,2,1,0,0,0,0,0,0,0,0,1,0
Carabooda,2,0,0,0,0,1,0,0,0,0,1,0
Cardigan,2,0,0,0,0,1,0,0,1,0,0,0
Carnes Hill,2,1,0,0,0,0,0,0,0,0,0,1
Cedar Vale,2,0,0,0,0,0,0,0,2,0,0,0
Central Coast,2,0,0,0,1,0,0,0,1,0,0,0
Chain Valley Bay,2,0,0,0,0,1,1,0,0,0,0,0
Charlton,2,0,0,0,0,0,0,0,0,0,1,1
Charnwood,2,0,0,0,0,0,0,0,1,0,0,1
Chevallum,2,0,0,0,1,0,0,0,0,0,0,1
Chevron Island,2,0,0,0,0,0,0,0,1,0,0,1
Chewton,2,0,0,0,0,0,1,0,0,1,0,0
Chifley,2,0,0,0,0,2,0,0,0,0,0,0
Chilcotts Grass,2,0,0,0,0,0,0,0,1,0,1,0
Chiswick,2,0,0,0,0,0,0,0,0,0,1,1
Chittaway Point,2,0,0,0,0,0,0,0,0,0,1,1
Churchable,2,0,0,0,0,0,0,0,0,0,2,0
Clarence Park,2,1,0,0,0,0,0,0,0,0,1,0
Clear Mountain,2,0,0,0,0,0,0,0,1,0,0,1
Clemton Park,2,0,0,0,0,0,0,0,0,0,1,1
Cobden,2,0,0,0,1,1,0,0,0,0,0,0
Cockburn Central,2,0,1,0,0,0,0,0,1,0,0,0
Coffee Camp,2,0,0,0,0,0,0,0,0,0,1,1
Collarenebri,2,0,0,0,0,1,0,0,0,0,1,0
Comboyne,2,0,0,0,1,0,0,0,0,0,1,0
Congupna,2,0,0,0,0,0,0,0,0,1,0,1
Coniston,2,0,0,0,1,0,0,0,0,0,1,0
Coober Pedy,2,0,0,0,0,0,0,0,0,0,1,1
Coolbinia,2,0,0,0,1,0,0,0,1,0,0,0
Coomba Park,2,0,0,0,1,0,0,0,1,0,0,0
Cooparoo,2,0,0,0,0,0,0,0,0,0,1,1
Cooyar,2,0,0,0,0,0,1,0,0,0,1,0
Corindi Beach,2,0,0,0,0,1,0,0,0,0,0,1
Corop,2,0,1,0,1,0,0,0,0,0,0,0
Cowaramup,2,0,0,0,0,1,0,0,0,0,1,0
Craigburn Farm,2,0,0,0,0,0,0,0,0,0,1,1
Craiglie,2,0,0,0,0,0,0,0,1,0,1,0
Cranbourne South,2,0,0,0,0,1,0,0,0,0,0,1
Cranley,2,0,0,0,0,0,0,0,2,0,0,0
Cremorne Point,2,0,0,0,0,2,0,0,0,0,0,0
Cumbalum,2,0,0,0,0,0,0,0,0,0,0,2
Cummins,2,0,0,0,0,0,0,0,2,0,0,0
Curl Curl,2,0,0,0,1,0,0,0,0,0,0,1
Curtin,2,0,0,0,1,0,0,0,0,0,1,0
D'Aguilar,2,0,0,0,0,1,0,0,0,1,0,0
D’Aguilar,2,0,0,0,0,0,0,0,0,0,0,2
Dalgety,2,0,0,0,1,0,0,0,1,0,0,0
Dallas,2,0,0,0,0,0,0,0,1,0,0,1
Dandenong South,2,1,0,0,0,0,1,0,0,0,0,0
Darch,2,0,0,0,0,1,0,0,0,0,0,1
Darlington Point,2,0,1,0,0,1,0,0,0,0,0,0
Davenport,2,0,0,0,0,1,0,0,1,0,0,0
Dayboro,2,0,0,0,0,0,0,0,2,0,0,0
Deanside,2,0,0,0,0,1,0,0,0,0,0,1
Deepwater,2,0,0,0,0,0,1,0,0,0,1,0
Denistone East,2,0,0,0,0,0,0,0,0,0,1,1
Denman Prospect,2,1,0,0,0,0,0,0,0,1,0,0
Dennington,2,0,0,0,0,0,0,0,0,0,0,2
Dernancourt,2,0,0,0,0,0,0,0,1,0,1,0
Derrimut,2,0,0,0,0,0,0,0,0,0,1,1
Derrinallum,2,0,0,0,0,0,0,0,1,0,1,0
Desert Springs,2,0,0,0,0,1,0,0,0,0,0,1
Diamond Valley,2,0,0,0,0,0,0,0,0,0,1,1
Diddillibah,2,0,0,0,0,0,0,0,0,0,1,1
Dingley,2,0,0,0,0,0,0,0,1,0,0,1
Dondingalong,2,0,0,0,1,1,0,0,0,0,0,0
Dora Creek,2,0,0,0,0,1,0,0,0,0,1,0
Dorrigo,2,0,0,0,0,0,0,0,1,0,0,1
Dover,2,0,0,0,1,1,0,0,0,0,0,0
Drewvale,2,0,0,0,0,0,0,0,1,0,0,1
Dunbogan,2,0,0,0,0,0,0,0,0,0,0,2
Dundee Beach,2,0,0,0,1,0,0,0,0,0,0,1
Dundowran Beach,2,0,0,0,1,0,0,0,0,0,0,1
Dyers Crossing,2,0,0,0,0,0,1,0,1,0,0,0
Eagle Farm,2,0,0,0,0,1,1,0,0,0,0,0
East Albury,2,0,0,0,0,1,0,0,0,0,0,1
East Branxton,2,0,0,0,1,0,0,0,0,0,0,1
East Deep Creek,2,0,0,0,2,0,0,0,0,0,0,0
East Nowra,2,0,0,0,0,1,0,0,0,1,0,0
East Wagga Wagga,2,0,0,0,0,1,0,0,1,0,0,0
Eastern Creek,2,0,0,0,0,0,0,0,1,0,0,1
Ebbw Vale,2,0,0,0,1,0,0,0,0,0,0,1
Edgehill,2,0,0,0,0,0,0,0,1,0,1,0
Elaine,2,0,0,0,0,2,0,0,0,0,0,0
Ellalong,2,0,0,0,0,0,0,0,0,0,0,2
Ellerston,2,0,0,0,0,0,0,0,0,0,0,2
Elliott Heads,2,0,0,0,0,0,0,0,0,0,2,0
Elphinstone,2,0,0,0,1,0,0,0,1,0,0,0
Eltham North,2,0,0,0,1,0,0,0,0,0,1,0
Emerald Beach,2,0,0,0,0,1,0,0,0,0,0,1
Epsom,2,0,0,0,0,0,0,0,1,0,0,1
Eromanga,2,0,0,0,0,0,0,0,0,0,1,1
Estella,2,0,0,0,1,0,0,0,0,0,1,0
Etna Creek,2,0,0,0,0,1,0,0,0,0,0,1
Ettalong,2,0,0,0,0,0,0,0,0,0,0,2
Euleilah,2,0,0,0,1,0,0,0,0,0,1,0
Eungai Rail,2,1,0,0,0,0,0,0,0,0,1,0
Eungella,2,0,0,0,0,1,0,0,1,0,0,0
Evandale,2,0,0,0,1,1,0,0,0,0,0,0
Evanston Park,2,0,0,0,1,0,0,0,0,0,0,1
Fairfield East,2,0,0,0,0,0,0,0,0,0,0,2
Farnborough,2,0,0,0,0,0,0,0,2,0,0,0
Farrer,2,0,0,0,1,1,0,0,0,0,0,0
Fig Tree Pocket,2,0,0,0,1,0,0,0,0,0,0,1
Fingal,2,0,0,0,0,0,0,0,0,0,1,1
Fingal Bay,2,0,0,0,0,0,0,0,2,0,0,0
Finley,2,0,0,0,0,1,0,0,0,0,0,1
Fitzroy Crossing,2,0,0,0,0,1,0,0,0,0,0,1
Flaxton,2,0,0,0,0,0,1,0,0,0,1,0
Flowerdale,2,0,0,0,0,0,0,0,1,1,0,0
Flynn,2,0,0,0,1,0,0,0,1,0,0,0
Fordsdale,2,0,0,0,0,0,0,0,2,0,0,0
Forestdale,2,0,0,0,1,0,0,0,0,0,0,1
Forresters Beach,2,0,0,0,0,1,0,0,0,0,1,0
Freeling,2,0,0,0,1,0,0,0,0,0,0,1
Galiwinku,2,0,0,0,0,1,0,0,0,0,1,0
Galston,2,0,0,0,0,0,0,0,1,0,0,1
Gapsted,2,0,0,0,1,0,0,0,1,0,0,0
Garfield,2,0,0,0,0,0,0,0,0,0,0,2
Garran,2,1,0,0,0,0,0,0,1,0,0,0
Gawler,2,0,0,0,0,0,0,0,1,0,0,1
Gawler Belt,2,0,0,0,0,0,0,0,0,0,1,1
Gawler West,2,0,0,0,1,1,0,0,0,0,0,0
Geilston Bay,2,0,0,0,0,1,0,0,0,0,1,0
Georges Hall,2,0,0,0,0,0,0,0,0,0,0,2
Gerringong,2,0,0,0,0,0,0,0,0,0,1,1
Gillies Plains,2,0,0,0,0,1,0,0,1,0,0,0
Giralang,2,0,0,0,0,1,0,0,0,0,0,1
Girards Hill,2,0,0,0,1,0,0,0,0,0,0,1
Giru,2,0,0,0,0,0,0,0,1,0,0,1
Glandore,2,0,0,0,0,0,0,0,0,0,1,1
Glen Aplin,2,0,0,0,1,1,0,0,0,0,0,0
Glenbrook,2,1,0,0,0,0,0,0,1,0,0,0
Gleneagle,2,0,0,0,0,0,0,0,2,0,0,0
Glenelg South,2,0,1,0,0,0,0,0,0,0,0,1
Glenview,2,0,0,0,0,0,0,0,1,0,0,1
Golden Point,2,0,0,0,0,0,0,0,2,0,0,0
Goodwood Island,2,0,0,0,0,0,0,0,0,0,1,1
Goondi Hill,2,0,0,0,0,0,0,0,1,0,1,0
Gordon Park,2,0,0,0,0,0,0,0,0,1,0,1
Graceville,2,0,0,0,0,1,0,0,0,0,1,0
Grandchester,2,0,0,0,1,0,0,0,1,0,0,0
Grantham Farm,2,0,0,0,1,0,0,0,0,0,0,1
Grantville,2,0,0,0,0,1,0,0,0,0,1,0
Granville Harbour,2,0,0,0,0,1,0,0,0,0,1,0
Grass Flat,2,0,0,0,0,0,0,0,0,0,1,1
Greenfield Park,2,0,0,0,0,0,0,0,0,0,1,1
Greenlands,2,0,0,0,1,0,0,0,0,0,1,0
Greenmount,2,0,0,0,1,0,0,0,0,0,0,1
Greenock,2,0,0,0,1,0,0,0,0,1,0,0
Greenwich Park,2,0,0,0,0,1,0,0,0,0,1,0
Guildford West,2,0,0,0,0,1,0,0,0,0,1,0
Gumdale,2,0,0,0,0,0,0,0,1,0,0,1
Gungal,2,0,0,0,0,0,0,0,1,0,0,1
Habana,2,0,0,0,0,0,0,0,1,0,1,0
Hackham,2,0,0,0,1,0,0,0,0,0,1,0
Hadspen,2,0,0,0,0,0,0,0,0,0,1,1
Hallora,2,0,0,0,2,0,0,0,0,0,0,0
Halls Creek,2,0,1,0,0,1,0,0,0,0,0,0
Hamilton North,2,0,0,0,0,0,0,0,1,0,0,1
Hamilton Valley,2,0,0,0,0,0,0,0,1,0,0,1
Harden,2,0,0,0,0,1,0,0,1,0,0,0
Harris Park,2,0,0,0,0,2,0,0,0,0,0,0
Harwood,2,0,0,0,0,2,0,0,0,0,0,0
Havenview,2,0,0,0,0,0,0,0,1,0,0,1
Hazelmere,2,0,0,0,0,0,0,0,0,0,1,1
Heathcote Junction,2,0,0,0,2,0,0,0,0,0,0,0
Heathfield,2,0,0,0,0,0,1,0,0,0,1,0
Heathmere,2,0,0,0,1,0,0,0,1,0,0,0
Hectorville,2,0,0,0,0,0,0,0,0,0,2,0
Heddon Greta,2,0,0,0,0,0,0,0,0,0,1,1
Helidon,2,0,0,0,0,0,0,0,1,0,1,0
Hemmant,2,0,0,0,0,0,0,0,1,0,0,1
Henty,2,0,0,0,0,2,0,0,0,0,0,0
Herdsmans Cove,2,0,0,0,0,0,0,0,0,1,0,1
Herveybay,2,0,1,0,0,0,0,0,0,0,0,1
Hideaway Bay,2,0,0,0,0,0,1,0,1,0,0,0
Higgins,2,0,0,0,0,0,0,0,1,0,0,1
Hill End,2,0,2,0,0,0,0,0,0,0,0,0
Hillvue Tamworth,2,0,0,0,0,0,0,0,1,0,0,1
Hivesville,2,0,0,0,0,0,0,0,1,0,0,1
Holder,2,0,0,0,0,0,0,0,0,0,0,2
Holroyd,2,0,0,0,1,0,0,0,0,0,0,1
Horningsea Park,2,0,0,0,2,0,0,0,0,0,0,0
Horrocks,2,0,0,0,1,1,0,0,0,0,0,0
Hotham Rd Niddrie,2,0,0,0,0,0,0,0,2,0,0,0
Hove,2,0,0,0,0,0,0,0,0,0,1,1
Hovells Creek,2,1,0,0,1,0,0,0,0,0,0,0
Howlong,2,0,0,0,1,0,0,0,0,0,0,1
Hoxton Park,2,0,0,0,0,0,0,0,1,0,1,0
Hughes,2,0,0,0,1,0,0,0,0,0,0,1
Hughesdale,2,0,0,0,0,0,0,0,1,0,0,1
Huonville,2,0,0,0,0,0,0,0,1,0,0,1
Hurstville Grove,2,0,0,0,0,0,0,0,1,0,0,1
Hydepark,2,0,0,0,0,0,0,0,0,0,0,2
Ilkley,2,0,0,0,0,0,1,0,0,0,0,1
Indented Head,2,0,0,0,0,0,0,0,0,0,2,0
Innot Hot Springs,2,0,0,0,0,1,0,0,0,0,0,1
Invergowrie,2,0,0,0,1,0,0,0,0,0,0,1
Isabella Plains,2,0,0,0,0,0,0,0,1,0,0,1
Ivanhoe East,2,0,0,0,1,0,0,0,0,0,1,0
Jacana,2,0,0,0,0,1,0,0,0,0,1,0
Jackass Flat,2,0,0,0,0,0,0,0,1,0,0,1
Jan Juc,2,0,0,0,0,0,0,0,1,1,0,0
Jandakot,2,0,0,0,1,0,0,0,0,0,0,1
Janebrook,2,0,0,0,0,0,0,0,1,0,0,1
Jarrahdale,2,0,0,0,0,1,1,0,0,0,0,0
Jerilderie,2,1,0,0,0,0,0,0,0,0,1,0
Jingili,2,1,0,0,0,1,0,0,0,0,0,0
Kairi,2,0,0,0,0,0,0,0,1,0,0,1
Kalgan,2,1,0,0,0,0,0,0,0,0,0,1
Kallaroo,2,0,0,0,0,1,0,0,0,0,1,0
Kanahooka,2,0,0,0,0,0,0,0,0,0,0,2
Kangarilla,2,0,0,0,1,0,0,0,0,0,0,1
Kangaroo Valley,2,0,0,0,0,0,0,0,0,0,0,2
Kanimbla,2,0,0,0,0,0,0,0,1,0,0,1
Kanmantoo,2,0,0,0,1,0,0,0,0,0,1,0
Karawatha,2,0,0,0,0,0,0,0,0,0,0,2
Katamatite,2,0,0,0,1,0,0,0,1,0,0,0
"Kennington, Bendigo",2,0,0,0,0,2,0,0,0,0,0,0
Kentlyn,2,1,0,0,0,0,0,0,1,0,0,0
Kiels Mountain,2,0,0,0,0,0,0,0,0,1,0,1
Kilcoy,2,0,0,0,0,0,0,0,0,0,0,2
Killarney,2,0,0,0,0,0,0,0,0,0,2,0
Kin Kin,2,0,0,0,0,0,0,0,1,0,1,0
Kinglake,2,0,1,0,0,0,0,0,1,0,0,0
Kinkora,2,0,0,0,0,1,0,0,0,0,0,1
Kleinton,2,0,0,0,0,0,1,0,0,0,0,1
Kogarah Bay,2,0,0,0,0,1,0,0,0,0,1,0
Koolkhan,2,0,0,0,0,0,0,0,0,0,2,0
Koondoola,2,0,0,0,0,0,0,0,0,0,2,0
Koorawatha,2,0,1,0,0,1,0,0,0,0,0,0
Koroit,2,0,0,0,0,0,0,0,1,0,1,0
Koyuga,2,0,0,0,2,0,0,0,0,0,0,0
Krambach,2,0,0,0,0,1,0,0,1,0,0,0
Kulangoor,2,0,0,0,1,1,0,0,0,0,0,0
Kulin,2,0,0,0,0,1,0,0,0,0,1,0
Kurrajong Heights,2,0,0,1,1,0,0,0,0,0,0,0
Kuttabul,2,0,0,0,0,1,0,0,1,0,0,0
Kyeemagh,2,0,0,0,0,0,0,0,0,0,2,0
Laidley Creek West,2,0,0,0,0,0,0,0,0,0,0,2
Lake Albert,2,0,1,0,0,1,0,0,0,0,0,0
Lake Charm,2,0,0,0,0,0,0,0,0,0,2,0
Lake Grace,2,0,0,0,0,0,0,0,1,0,1,0
Lakehaven,2,0,0,0,0,1,0,0,0,0,0,1
Lakewood,2,0,0,0,0,0,0,0,1,0,1,0
Langwarrin South,2,0,0,0,0,0,0,0,0,0,2,0
Largs North,2,0,0,0,0,0,0,0,0,0,2,0
Largs Nth,2,0,0,0,0,0,0,0,0,0,0,2
Lawrence,2,0,1,0,0,1,0,0,0,0,0,0
Leederville,2,0,0,0,2,0,0,0,0,0,0,0
Leeming,2,0,0,0,0,1,0,0,0,1,0,0
Leichardt,2,0,0,0,0,1,0,0,0,0,1,0
Lenah Valley,2,0,0,0,1,0,0,0,0,0,0,1
Leneva,2,0,0,0,0,0,0,0,1,0,0,1
Leonora,2,0,0,0,0,1,0,0,0,0,0,1
Lindfield,2,0,0,0,0,1,0,0,0,0,0,1
Littlehampton,2,0,1,0,0,0,0,0,0,0,1,0
Lobethal,2,0,0,0,1,0,1,0,0,0,0,0
Lockhart,2,0,0,0,0,0,0,0,1,0,0,1
Lockrose,2,1,0,0,0,0,0,0,0,0,1,0
Loftus,2,0,0,0,1,0,0,0,1,0,0,0
Long Beach,2,0,0,0,0,1,0,0,0,0,1,0
Longwarry,2,0,0,0,0,0,0,0,2,0,0,0
Lonsdale,2,0,0,0,0,1,1,0,0,0,0,0
Lowanna,2,0,0,0,0,0,0,0,0,0,2,0
Lower King,2,0,0,0,0,0,0,0,1,0,0,1
Lower Macdonald,2,0,0,0,0,0,0,0,0,0,0,2
Luddenham,2,0,0,0,1,0,0,0,0,0,0,1
Lyneham,2,0,0,0,0,1,0,0,0,0,1,0
Lysterfield,2,0,0,0,1,0,0,0,0,0,0,1
Macclesfield,2,0,0,0,1,0,0,0,0,0,1,0
Mackay Mc,2,0,0,0,0,1,0,0,1,0,0,0
Macleod,2,0,0,0,1,0,0,0,1,0,0,0
Madeley,2,0,0,0,0,0,0,0,0,0,2,0
Madora Bay,2,0,0,0,1,0,0,0,0,0,1,0
Magra,2,0,1,0,0,1,0,0,0,0,0,0
Maiden Gully,2,0,0,0,0,0,0,0,0,0,1,1
Maldon,2,0,1,0,0,0,0,0,0,0,0,1
Mallala,2,0,0,0,0,0,0,0,1,0,1,0
Malmsbury,2,0,0,0,0,0,0,0,0,1,0,1
Mandalay,2,0,0,0,1,0,1,0,0,0,0,0
Mandalong,2,0,0,0,1,0,0,0,0,0,1,0
Manifold Heights,2,0,0,0,0,0,0,0,0,0,1,1
Manildra,2,0,0,0,0,1,1,0,0,0,0,0
Marburg,2,0,0,0,0,0,0,0,0,1,0,1
Marks Point,2,0,0,0,1,0,0,0,0,0,0,1
Marleston,2,0,0,0,1,0,0,0,0,0,0,1
Marmong Point,2,0,0,0,0,1,0,0,1,0,0,0
Maroochy River,2,0,0,0,0,1,0,0,0,0,0,1
Marrara,2,0,0,0,0,0,0,0,0,0,0,2
Maryville,2,0,0,0,0,0,0,0,1,0,1,0
Mayfield West,2,1,0,0,1,0,0,0,0,0,0,0
Mcgraths Hill,2,0,0,0,1,0,0,0,0,1,0,0
Mcmahons Point,2,0,0,0,0,0,0,0,1,0,0,1
Meridian Plains,2,0,0,0,0,0,0,0,0,0,0,2
Metung,2,0,0,0,0,0,0,0,1,0,0,1
Middle Park,2,0,0,1,1,0,0,0,0,0,0,0
Middleton,2,0,0,0,1,0,0,0,0,0,1,0
Middleton Beach,2,0,0,0,1,0,0,0,0,0,0,1
Millswood,2,0,0,0,0,0,0,0,0,0,0,2
Milsons Point,2,0,0,0,0,0,0,0,2,0,0,0
Minyip,2,0,0,0,0,0,0,0,1,0,1,0
Mira Mar,2,0,0,0,0,0,0,0,0,0,1,1
Mirani,2,0,2,0,0,0,0,0,0,0,0,0
Mirboo North,2,0,0,0,0,1,0,0,0,0,0,1
Modbury Heights,2,0,0,0,0,0,0,0,1,0,1,0
Monash,2,0,0,0,1,0,0,0,0,0,0,1
Monbulk,2,0,0,0,0,0,0,0,1,0,0,1
Monegeetta,2,0,0,0,0,0,0,0,1,1,0,0
Mongarlowe,2,0,0,0,0,0,0,0,2,0,0,0
Mont Albert North,2,0,0,0,0,0,1,0,0,0,0,1
Montello,2,0,0,0,1,0,0,0,1,0,0,0
Monterey,2,1,0,1,0,0,0,0,0,0,0,0
Moomin,2,0,0,0,0,0,0,0,1,0,0,1
Moonta Bay,2,0,0,0,0,2,0,0,0,0,0,0
Moore Creek,2,0,0,0,0,1,0,0,0,0,0,1
Moorina,2,0,1,0,0,0,0,0,0,0,0,1
Morangup,2,0,0,0,0,0,1,0,1,0,0,0
Morayfeild,2,0,0,0,0,2,0,0,0,0,0,0
Morpeth,2,0,0,0,2,0,0,0,0,0,0,0
Morundah,2,0,0,0,1,0,0,0,1,0,0,0
Mossy Point,2,0,0,0,1,0,0,0,0,0,0,1
Moto,2,0,0,0,0,0,0,0,0,0,0,2
Mount Buller,2,0,0,0,1,0,0,0,0,0,0,1
Mount Burrell,2,0,0,0,0,0,0,0,1,0,1,0
Mount Coolum,2,1,0,0,1,0,0,0,0,0,0,0
Mount Crosby,2,0,0,0,0,0,0,0,0,0,1,1
Mount Dandenong,2,0,0,0,0,0,0,0,2,0,0,0
Mount Helen,2,0,0,0,0,0,0,0,0,0,1,1
Mount Helena,2,0,0,0,0,0,0,0,0,0,0,2
Mount Johns,2,0,0,0,0,0,0,0,0,1,1,0
Mount Kuring-Gai,2,0,0,0,1,0,0,0,1,0,0,0
Mount Lofty,2,0,0,0,2,0,0,0,0,0,0,0
Mount Marlow,2,0,0,0,0,1,0,0,0,0,1,0
Mount Ousley,2,0,0,0,0,0,0,0,0,0,1,1
Mount Richon,2,0,0,0,0,0,0,0,0,0,1,1
Moyhu,2,0,0,0,0,0,0,0,1,0,0,1
Mt Gambier,2,0,0,0,0,0,0,0,0,1,0,1
Mt Hawthorn,2,0,0,0,0,0,0,0,2,0,0,0
Mt Julian,2,0,0,0,0,0,0,0,1,0,1,0
Mt Louisa,2,0,0,0,0,1,0,0,0,0,0,1
Mt Low,2,0,0,0,0,0,0,0,0,1,0,1
Mt Pleasant,2,0,0,0,0,0,0,0,0,0,0,2
Muckatah,2,0,0,0,0,0,0,0,0,2,0,0
Mulambin,2,0,0,0,0,1,0,0,0,0,0,1
Mulgildie,2,0,0,0,0,0,0,0,1,0,1,0
Mulwala,2,0,0,0,0,0,0,0,1,0,1,0
Mundoolun,2,0,0,0,1,0,0,0,0,0,0,1
Mungar,2,0,0,0,0,0,0,0,2,0,0,0
Munruben,2,1,0,0,0,0,0,0,0,0,0,1
Murchison East,2,0,0,0,0,0,0,0,0,0,1,1
Murrayville,2,0,0,0,1,1,0,0,0,0,0,0
Murrumbateman,2,0,1,0,0,0,0,0,0,0,0,1
Murrurundi,2,0,0,0,0,0,0,0,1,0,1,0
Myaree,2,0,0,0,0,2,0,0,0,0,0,0
Myers Flat,2,0,0,0,0,1,0,0,1,0,0,0
Mylor,2,0,0,0,0,1,0,0,1,0,0,0
